City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,union,40.6334,-74.2663,8.29,73,75,1.54,US,1670048823
311,westport,41.1415,-73.3579,9.39,78,40,2.06,US,1670048876
312,honiara,-9.4333,159.95,26.1,87,100,0.77,SB,1670048876
313,okha,53.5739,142.9478,-20.19,91,30,5.33,RU,1670048877
314,qui nhon,13.7667,109.2333,25.76,88,100,5.29,VN,1670048877
315,sabha,27.0377,14.4283,13.61,43,17,5.26,LY,1670048878
316,altay,47.8667,88.1167,-13.06,81,13,0.33,CN,1670048878
317,walvis bay,-22.9575,14.5053,15.53,88,100,5.14,NA,1670048879
318,san policarpo,12.1791,125.5072,28.17,81,100,5.32,PH,1670048879
319,toamasina,-18.1667,49.3833,29.0,70,40,3.09,MG,1670048879
320,mala tokmachka,47.5356,35.8929,-0.88,60,100,7.52,UA,1670048880
321,mecca,21.4267,39.8261,25.15,64,0,0.74,SA,1670048880
322,hede,33.7681,120.2517,6.17,59,100,2.08,CN,1670048881
323,rio gallegos,-51.6226,-69.2181,4.03,70,75,1.54,AR,1670048881
324,honjo,36.2333,139.1833,14.82,35,14,0.48,JP,1670048882
325,rundu,-17.9333,19.7667,26.7,27,3,2.46,NA,1670048883
326,krasnoselkup,65.7,82.4667,-7.56,95,100,5.31,RU,1670048884
327,develi,38.3906,35.4922,0.64,79,5,0.32,TR,1670048884
328,aleksinac,43.5417,21.7078,4.16,95,100,2.26,RS,1670048651
329,pundaguitan,6.3711,126.1689,27.84,77,92,4.07,PH,1670048886
330,atyrau,47.1167,51.8833,-12.99,66,0,7.0,KZ,1670048887
331,camacha,33.0833,-16.3333,12.68,72,40,2.06,PT,1670048888
332,cockburn town,21.4612,-71.1419,26.5,68,46,9.92,TC,1670048598
333,sao geraldo do araguaia,-6.4006,-48.555,22.47,98,100,1.08,BR,1670048889
334,arequipa,-16.3989,-71.535,10.78,51,7,0.57,PE,1670048703
335,hambantota,6.1241,81.1185,30.19,79,40,3.09,LK,1670048890
336,adeje,28.1227,-16.726,18.49,85,75,1.54,ES,1670048891
337,muana,-1.5283,-49.2167,24.17,93,100,1.32,BR,1670048891
338,geraldton,-28.7667,114.6,24.23,53,27,6.17,AU,1670048892
339,grindavik,63.8424,-22.4338,3.26,100,0,1.54,IS,1670048893
340,khovu-aksy,51.1333,93.6,-19.79,81,4,0.78,RU,1670048893
341,bam,29.106,58.357,15.39,33,0,2.24,IR,1670048894
